Material_ID|Material_Name|Type|Unit_Price|Stock_Initial|Supplier_ID|Total_Stock_Value|Cost_Per_Unit_Carbon|Environmental_Impact_Score|Recyclable_Status|Stock_Alert_Level|Supply_Reliability_Index
M226|Ultra-Sel naturel|Ingrédient|165.08|722|SUPPLIER_37|129475.06|0.25|876.9|Non|Élevé|5.37
M175|Super-Chocolat concentré|Produit laitier|184.93|738|SUPPLIER_62|171476.7|0.1|2781.0|Non|Élevé|3.89
M235|Bio-Amidon concentré|Ingrédient|420.57|303|SUPPLIER_7|91069.43|1.49|299.9|Non|Faible|23.86
M1m|Bio-Sel naturel|Produitb|405.95|58|SUPPLIER_50|37848.0|2.85|242.3|Non|Critique|14.3
M185|Premium-Sel en poudre|Produit laitier|128.59|504|SUPPLIER_71|63110.14|0.12|1557.0|Oui|Normal|20.97
M233|Ultra-Chocolat concentré|Produit laitier|379.83|862|SUPPLIER_45|279428.5|0.22|2451.0|Non|Élevé|10.62
M270|Bio-Sirop en poudre|Ingrédient|979.82|908||36075.76|11.7|1841.67|Non|Élevé|12.75
M046|Super-Beurre enrichi|Produit laitier|468.8|430|SUPPLIER_28|229334.02|0.5|1542.0|Oui|Normal|4.37
M167|Eco-Beurre liquide|Ingrédient|413.41|100|SUPPLIER_66|50371.93|3.54|186.0|Non|Faible|13.89
M191|Ultra-Fromage naturel|Ingrédient|277.89|480|SUPPLIER_83|127039.94|0.56|579.8|Non|Normal|7.65
M029|Ultra-Fromage en poudre|Ingrédient|300.25|652|SUPPLIER_47|237577.65|0.44|870.4|Oui|Élevé|11.31
M273|Ultra-Chocolat naturel|Ingrédient|455.18|927|SUPPLIER_50|405018.22|0.5|999.8|Non|Élevé|7.82
M293|Eco-Sucre concentré|Produit laitier|392.42|507|SUPPLIER_12|251496.89|0.35|1851.0|Oui|Normal|4.19
M033|Super-Fromage en poudre|Ingrédient|356.91|912|SUPPLIER_82|279260.75|0.51|932.6|Non|Élevé|4.64
M365|Super-Beurre liquide|Produit laitier|213.58|169|SUPPLIER_74|28729.98|0.65|537.0|Oui|Faible|7.25
M391|Super-Arôme concentré|Produit laitier|192.15|925|SUPPLIER_39|170512.21|0.12|2700.0|Non|Élevé|10.56
M267|Super-Beurre enrichi|Produit laitier|384.83|735|SUPPLIER_21|329359.93|0.2|2805.0|Non|Élevé|3.89
M263|Bio-Amidon en poudre|Ingrédient|360.75|264|SUPPLIER_79|97731.17|1.43|373.8|Non|Faible|7.21
M120|Ultra-Lait liquide|Ingrédient|101.19|787|SUPPLIER_61|73909.24|0.16|788.3|Oui|Élevé|21.42
M066|Premium-Sel enrichi|Produit laitier|400.41|815|SUPPLIER_80|402460.4|0.21|3009.0|Oui|Élevé|10.5
M405|Bio-Sucre enrichi|Ingrédient|164.91|359|SUPPLIER_36|57097.14|0.39|468.5|Oui|Normal|9.26
M285|Premium-Sel en poudre|Produit laitier|208.38|664|SUPPLIER_58|156475.16|0.14|2385.0|Oui|Élevé|3.99
M288|Premium-Sel enrichi|Produit laitier|392.27|880|SUPPLIER_37|268399.25|0.27|2289.0|Oui|Élevé|4.68
M332|Eco-Crème en poudre|Ingrédient|148.62|521|SUPPLIER_51|87130.97|0.28|728.0|Non|Normal|5.06
M377|Premium-Arôme concentré|Produit laitier|527.45|164|SUPPLIER_27|79807.07|1.67|501.0|Oui|Faible|8.91
M136|Ultra-Fromage liquide|Ingrédient|118.03|515|SUPPLIER_67|62140.21|0.28|538.7|Oui|Normal|10.52
M235|Eco-Sirop concentré|Ingrédient|402.68|275|SUPPLIER_7|103658.31|1.49|299.9|Non|Faible|23.86
M004|Super-Sucre enrichi||959.01|484|SUPPLIER_32|8810.17|3.07|887.29|Oui|Normal|5.29
M361|Ultra-Lait concentré|Produit laitier|447.12|517|SUPPLIER_35|261966.56|0.34|1968.0|Oui|Normal|4.13
M066|Super-Sel concentré|Produit laitier|421.56|986|SUPPLIER_80|421373.98|0.21|3009.0|Oui|Élevé|10.5
M480|Premium-Sucre enrichi|Produit laitier|491.86|235|SUPPLIER_17|144654.12|0.84|1011.0|Non|Faible|3.74
M028|Eco-Amidon en poudre|Produit laitier|465.65|555|SUPPLIER_67|235972.24|0.41|1611.0|Non|Normal|10.95
M066|Super-Arôme en poudre|Produit laitier|377.4|1104|SUPPLIER_80|431297.63|0.21|3009.0|Oui|Élevé|10.5
M239|Premium-Arôme liquide|Ingrédient|161.54|322|SUPPLIER_52|46408.63|0.53|400.6|Oui|Faible|7.38
M347|Ultra-Sucre enrichi|Produit laitier|218.95|164|SUPPLIER_50|35095.88|0.72|573.0|Oui|Faible|6.44
M231|Eco-Fromage concentré|Produit laitier|375.95|823|SUPPLIER_65|294289.76|0.22|2517.0|Non|Élevé|5.61
M291|Premium-Lait en poudre|Produit laitier|180.44|75|SUPPLIER_39|36659.35|0.1|2658.67|Non|Critique|0.83
M441|Super-Beurre naturel|Ingrédient|312.9|267|SUPPLIER_56|80167.69|1.45|324.0|Non|Faible|9.17
M359|Eco-Amidon en poudre|Produit laitier|300.45|287|SUPPLIER_78|114941.39|0.46|1110.0|Oui|Normal|9.73
M213|Eco-Beurre liquide||936.09|502|SUPPLIER_1|34959.97|4.18|817.12|Non|Normal|6.96
M405|Super-Sucre concentré|Produit laitier|121.86|753|SUPPLIER_15|84165.9|0.08|2169.0|Oui|Élevé|10.7
M218|Super-Fromage en poudre|Produit laitier|450.89|431|SUPPLIER_60|224162.94|0.45|1650.0|Oui|Normal|3.48
M273|Super-Arôme naturel|Ingrédient|413.17|784|SUPPLIER_50|360380.12|0.5|999.8|Non|Élevé|7.82
M293|Bio-Crème concentré|Produit laitier|345.26|287|SUPPLIER_6|105575.46|0.52|1041.0|Non|Normal|5.55
M255|Super-Sucre enrichi|Ingrédient|59.62|723|SUPPLIER_33|51844.53|0.07|1058.4|Non|Élevé|5.12
M157|Super-Arôme concentré|Produit laitier|409.5|1050|SUPPLIER_20|325925.29|0.21|2718.0|Oui|Élevé|20.55
M129|Bio-Beurre concentré|Ingrédient|152.99|247|SUPPLIER_3|34698.84|0.73|273.8|Non|Faible|11.47
M456|Eco-Crème naturel|Ingrét|933.24|376|SUPPLIER_31|38876.35|18.35|1827.17|Non|Normal|19.85
M247|Bio-Sirop en poudre|Ingrédient|171.95|347|SUPPLIER_71|43993.46|0.52|363.3|Oui|Normal|13.3
M399|Eco-Amidon liquide|Ingrédient|193.08|418|SUPPLIER_72|83490.44|0.42|572.9|Oui|Normal|5.61
M440|Ultra-Fromage concentré|Ingréo|995.8|60|SUPPLIER_14|4567.27|15.59|1282.95|Non|Critique|16.91
M417|Ultra-Beurre en poudre|Produit laitier|83.07|226|SUPPLIER_26|16833.42|0.2|747.0|Non|Faible|4.89
M327|Ultra-Lait naturel||85.59|17|SUPPLIER_9|20913.82|0.3|294.96|Non|Critique|23.29
M223|Ultra-Amidon naturel|Ingrédient|164.14|760|SUPPLIER_66|99837.94|0.24|783.4|Non|Normal|5.55
M131|Super-Sel en poudre|Ingrédient|93.59|531|SUPPLIER_12|40960.91|0.2|512.2|Non|Normal|22.21
M323|Premium-Sel concentré|Produit laitier|343.3|905|SUPPLIER_82|320074.42|0.18|2829.0|Oui|Élevé|10.54
M3j|Premium-Beurre en poudre||91.62|444|SUPPLIER_64|40236.29|0.4|1928.67|Non|Normal|4.18
M397|Super-Amidon naturel|Ingrédient|299.54|435|SUPPLIER_51|137078.7|0.6|559.1|Oui|Normal|12.08
M480|Super-Chocolat liquide|Ingrédient|159.76|834|SUPPLIER_23|117362.0|0.23|882.4|Non|Élevé|5.36
M103|Ultra-Chocolat naturel|Produit laitier|274.62|956|SUPPLIER_53|247671.86|0.14|2835.0|Non|Élevé|7.2
M486|Premium-Chocolat en poudre|Produit laitier|230.09|881|SUPPLIER_56|197665.42|0.11|3096.0|Oui|Élevé|3.0
M287|Eco-Crème en poudre|Ingrédient|246.25|970|SUPPLIER_5|251015.22|0.25|1200.2|Non|Élevé|3.52
M253|Eco-Arôme enrichi|Produit laitier|133.66|835|SUPPLIER_6|83937.96|0.08|2280.0|Non|Élevé|4.68
M002|Premium-Amidon en poudre|Produit laitier|126.17|472|SUPPLIER_83|51399.19|0.15|1329.0|Oui|Normal|4.54
M187|Premium-Sucre enrichi|Produit laitier|70.86|311|SUPPLIER_8|21253.85|0.14|951.0|Non|Faible|3.87
M068|Bio-Sirop en poudre|Produit laitier|193.88|764|SUPPLIER_73|138378.09|0.13|2304.0|Oui|Élevé|5.67
M192|Premium-Sucre liquide|Ingrédient|303.53|902|SUPPLIER_76|241961.86|0.38|967.1|Non|Élevé|5.23
M235|Ultra-Chocolat concentré|Produit laitier|73.62|620|SUPPLIER_38|46479.56|0.05|2370.0|Non|Élevé|2.68
M480|Premium-Lait en poudre|Produit laitier|493.34|334|SUPPLIER_17|138388.98|0.84|1011.0|Non|Faible|3.74
M194|Eco-Amidon enrichi|Ingrédient|154.82|330|SUPPLIER_40|57335.3|0.37|479.7|Non|Normal|8.14
M332|Eco-Crème naturel|Ingrédient|157.05|515|SUPPLIER_51|90066.29|0.28|728.0|Non|Normal|5.06
M029|Ultra-Fromage enrichi|Ingrédient|69.42|167|SUPPLIER_31|12874.16|0.49|261.6|Non|Faible|9.74
M3r|Bio-Fromage naturel|Ingrédient|300.04|57|SUPPLIER_83|1473.75|0.91|1397.91|Non|Critique|3.53
M016|Ultra-Amidon en poudre|Produit laitier|335.28|723|SUPPLIER_59|210939.15|0.27|2022.0|Non|Normal|9.09
M281|Super-Fromage liquide|Ingrédient|106.81|485|SUPPLIER_26|63539.95|0.2|732.4|Non|Normal|5.05
M293|Ultra-Sucre naturel|Produit laitier|446.58|501|SUPPLIER_12|235597.64|0.35|1851.0|Oui|Normal|4.19
M284|Bio-Sirop liquide|Produit laitier|290.85|897|SUPPLIER_47|273984.22|0.19|2478.0|Oui|Élevé|7.28
M192|Super-Chocolat concentré|Produit laitier|254.46|694|SUPPLIER_49|197291.71|0.17|2433.0|Non|Élevé|6.19
M097|Super-Arôme en poudre|Produit laitier|452.32|963|SUPPLIER_71|396944.65|0.3|2559.0|Oui|Élevé|3.94
M156|Super-Lait en poudre|Produit laitier|220.69|820|SUPPLIER_83|211375.07|0.12|2748.0|Oui|Élevé|6.11
M350|Premium-Sucre en poudre|Ingrédient|373.05|273|SUPPLIER_15|93212.38|1.41|349.9|Non|Faible|9.27
M026|Bio-Sel en poudre|Produit laitier|99.62|453|SUPPLIER_28|55114.53|0.1|1536.0|Non|Normal|11.0
M481|Bio-Crème enrichi|Ingrédient|507.11|337|SUPPLIER_61|149942.26|1.67|346.8|Oui|Faible|13.47
M278|Eco-Arôme en poudre|Ingrédient|260.71|573|SUPPLIER_9|144548.26|0.5|738.2|Non|Normal|4.28
M179|Ultra-Sirop concentré|Produit laitier|404.18|724|SUPPLIER_26|364499.27|0.28|2430.0|Oui|Élevé|10.62
M399|Eco-Beurre naturel|Ingrédient|164.07|442|SUPPLIER_72|73745.55|0.42|572.9|Oui|Normal|5.61
M267|Premium-Beurre en poudre|Ingrédient|268.74|548|SUPPLIER_6|139652.23|0.41|828.7|Non|Normal|3.62
M012|Super-Sirop concentré|Ingréy|228.19|482|SUPPLIER_14|36801.76|1.64|664.62|Non|Normal|27.75
M127|Ultra-Chocolat liquide|Ingrédient|82.64|687|SUPPLIER_78|51310.09|0.11|819.7|Oui|Normal|5.48
M319|Bio-Fromage en poudre|Produit laitier|432.9|923|SUPPLIER_11|350390.93|0.28|2445.0|Non|Élevé|8.96
M244|Ultra-Arôme liquide|Ingrédient|531.04|261|SUPPLIER_20|129714.45|1.97|307.7|Non|Faible|12.38
M0d|Ultra-Chocolat liquide||451.26|121|SUPPLIER_58|37283.26|1.62|1953.84|Non|Faible|3.53
M212|Eco-Amidon liquide|Produit laitier|143.93|90|SUPPLIER_51|14476.45|0.66|375.0|Non|Faible|11.21
M255|Ultra-Beurre concentré|Ingrédient|54.7|944|SUPPLIER_33|48877.54|0.07|1058.4|Non|Élevé|5.12
M298|Ultra-Sirop naturel|Ingrédient|159.37|148|SUPPLIER_5|27193.01|1.09|217.7|Oui|Faible|13.04
M286|Premium-Sel liquide|Ingrédient|424.96|280|SUPPLIER_41|133082.83|1.39|363.3|Non|Normal|13.3
M0k|Ultra-Beurre enrichi|Ingrédient|445.65|816||35279.37|1.44|1893.11|Non|Élevé|3.53
M373|Eco-Sucre liquide|Produity|348.63|27|SUPPLIER_22|94714.86|0.66|2074.67|Non|Critique|2.08
M051|Bio-Sel liquide|Produit laitier|407.87|636|SUPPLIER_30|268546.39|0.3|2085.0|Oui|Normal|20.72
M2j|Ultra-Crème enrichi|Ingréh|844.1|68||36337.55|13.76|1291.55|Non|Critique|14.95
M3p|Eco-Crème naturel||966.74|527||2817.11|12.31|1839.67|Non|Normal|13.4
M156|Bio-Lait en poudre|Produit laitier|219.46|754|SUPPLIER_83|204447.97|0.12|2748.0|Oui|Élevé|6.11
M1q|Super-Lait enrichi||154.66|116|SUPPLIER_78|1783.2|0.77|4884.93|Non|Faible|13.05
M120|Super-Crème en poudre|Ingrédient|60.39|166|SUPPLIER_8|10285.31|0.36|206.4|Non|Faible|25.75
M006|Ultra-Sirop enrichi|Ingrédient|282.02|272|SUPPLIER_53|66157.63|1.25|350.7|Oui|Faible|7.55
M166|Bio-Crème liquide|Ingrédient|168.84|414|SUPPLIER_65|77683.04|0.45|572.1|Oui|Normal|4.93
M192|Ultra-Arôme naturel|Produit laitier|277.92|787|SUPPLIER_49|215403.85|0.17|2433.0|Non|Élevé|6.19
M384|Eco-Sirop liquide|Produit laitier|249.03|96|SUPPLIER_24|26931.36|0.99|393.0|Oui|Faible|14.13
M235|Ultra-Beurre concentré|Ingrédient|366.44|213|SUPPLIER_7|93069.93|1.49|299.9|Non|Faible|23.86
M022|Eco-Beurre liquide|Ingrédient|184.55|477|SUPPLIER_51|104479.52|0.32|686.1|Non|Normal|10.03
M045|Super-Crème concentré|Ingrédient|312.57|203|SUPPLIER_2|72726.51|1.48|255.9|Oui|Faible|24.57
M233|Premium-Beurre enrichi|Produit laitier|350.14|826|SUPPLIER_45|271236.01|0.22|2451.0|Non|Élevé|10.62
