Supplier_Name;Location;Contact_Email;Phone_Number;Environmental_Certifications;Transport_Type;Sustainability_Program
Hill and Sons;Tunis;jvance@tunisia.com;+216 51 389 339;Agriculture Biologique;Unknown;Non
Anderson Ltd;Medenine;holly11@tunisia.com;+216 50 621 758;ISO 14001;Maritime;Oui
Tucker-Herrera;Zaghouan;jroman@tunisia.com;+216 35 234 140;ISO 14001;Aérien;Non
Ballard LLC;Hammamet;brownmatthew@tunisia.com;+216 27 260 840;Agriculture Biologique;Aérien;Oui
Gilbert-Roberts;Gafsa;mikaylatravis@tunisia.com;+216 91 275 260;ISO 14001;Camionnage;Non
Cook-Ortiz;Kélibia;angelarusso@tunisia.com;+216 46 515 879;Aucune;Multimodal;Non
Wheeler Inc;Sidi Bouzid;rrichard@tunisia.com;+216 49 562 623;Aucune;Ferroviaire;Non
Miller-Horn;Skanes;martindustin@tunisia.com;+216 82 567 201;ISO 14001;Multimodal;Non
Perez-Wagner;Le Kef;bberg@tunisia.com;+216 66 477 971;Agriculture Biologique;Unknown;Non
Henderson, Ingram and Williams;Medenine;rodriguezsarah@tunisia.com;+216 94 515 629;Aucune;Unknown;Non
Key, Montoya and Lam;Kasserine;kanderson@tunisia.com;+216 67 375 610;Agriculture Biologique;Ferroviaire;Oui
Perez-Garcia;Tataouine;erin00@tunisia.com;+216 31 494 885;Agriculture Biologique;Multimodal;Non
Kirby Inc;Bizerte;mreyes@tunisia.com;+216 60 988 403;ISO 14001;Multimodal;Oui
Mays Ltd;Kélibia;craigtimothy@tunisia.com;+216 68 531 488;Aucune;Maritime;Non
Frederick-Miller;Gafsa;richard73@tunisia.com;+216 42 184 666;Aucune;Ferroviaire;Non
Mccormick, Dunn and Mann;Kasserine;lowepatrick@tunisia.com;+216 67 223 495;Aucune;Multimodal;Non
Williams, Ellis and Moore;Tataouine;grayapril@tunisia.com;+216 69 343 325;Agriculture Biologique;Aérien;Non
Morales PLC;Sousse;derek65@tunisia.com;+216 52 773 855;ISO 14001;Ferroviaire;Oui
Guzman-Schaefer;Skanes;cruzlaura@tunisia.com;+216 83 307 869;Aucune;Aérien;Oui
Heath Inc;Skanes;judymercer@tunisia.com;+216 85 609 158;Agriculture Biologique;Multimodal;Non
Marquez, Perez and Johnson;La Marsa;phillipsmichelle@tunisia.com;+216 74 814 783;ISO 14001;Ferroviaire;Oui
Arias-Jacobs;Mahdia;stanleybell@tunisia.com;+216 23 446 505;ISO 14001;Camionnage;Non
Gray PLC;Jendouba;cole27@tunisia.com;+216 63 795 106;Agriculture Biologique;Ferroviaire;Non
Moore, Reed and Gardner;Manouba;crystal69@tunisia.com;+216 69 788 450;Agriculture Biologique;Multimodal;Non
Brooks, Perry and Salazar;Djerba;kevinsmith@tunisia.com;+216 23 141 516;Aucune;Maritime;Oui
Oconnor-Smith;Tozeur;kellieyoung@tunisia.com;+216 40 607 448;Aucune;Multimodal;Non
Lowe, Thompson and Howard;Siliana;sally24@tunisia.com;+216 96 868 835;ISO 14001;Camionnage;Non
Griffith LLC;Jendouba;kevin58@tunisia.com;+216 33 425 558;Aucune;Unknown;Non
Stone, Bowers and Clark;Djerba;kevinpadilla@tunisia.com;+216 75 859 531;ISO 14001;Unknown;Non
Zamora Group;Medenine;walkerallison@tunisia.com;+216 31 100 512;ISO 14001;Ferroviaire;Non
Garza, Martin and Davis;Nabeul;gdaniel@tunisia.com;+216 23 305 526;ISO 14001;Aérien;Oui
Flores Group;Skanes;jasonmartinez@tunisia.com;+216 70 198 594;Agriculture Biologique;Aérien;Non
Bauer Inc;Medenine;ybean@tunisia.com;+216 97 594 309;Agriculture Biologique;Camionnage;Oui
Green-Flores;Siliana;ddickerson@tunisia.com;+216 92 877 189;ISO 14001;Ferroviaire;Non
Lucas-Allen;Ariana;nicholas38@tunisia.com;+216 34 489 560;ISO 14001;Ferroviaire;Oui
Brown Ltd;Gabès;snydercharles@tunisia.com;+216 54 642 200;Aucune;Aérien;Oui
Young and Sons;Tataouine;amandajohnson@tunisia.com;+216 71 872 506;Aucune;Camionnage;Non
Howell, Sims and Gutierrez;Beja;kimberly93@tunisia.com;+216 33 855 575;Agriculture Biologique;Maritime;Non
Hurst Ltd;Kélibia;david00@tunisia.com;+216 83 331 569;Agriculture Biologique;Ferroviaire;Oui
Duffy, Espinoza and Smith;Kélibia;leahsims@tunisia.com;+216 86 163 336;ISO 14001;Ferroviaire;Oui
Pham-Gomez;Kasserine;brownrebekah@tunisia.com;+216 36 170 975;Agriculture Biologique;Maritime;Oui
Warren-Randall;Kebili;jessica40@tunisia.com;+216 63 349 615;Aucune;Maritime;Non
Anderson, Merritt and Castillo;Manouba;davidsanchez@tunisia.com;+216 96 407 826;Aucune;Aérien;Oui
Wallace Inc;Ben Arous;abradley@tunisia.com;+216 38 323 561;Aucune;Multimodal;Oui
Miranda Inc;Kebili;johntaylor@tunisia.com;+216 87 310 967;Aucune;Aérien;Non
Thomas LLC;Mahdia;joshua77@tunisia.com;+216 42 852 873;Aucune;Camionnage;Oui
Bright Group;Nabeul;angela58@tunisia.com;+216 54 330 302;ISO 14001;Camionnage;Non
Hughes Ltd;Djerba;tadkins@tunisia.com;+216 44 959 114;Aucune;Unknown;Non
Martin, Vega and Foster;Sfax;jmacias@tunisia.com;+216 25 770 162;Agriculture Biologique;Camionnage;Non
Gomez-Burnett;Siliana;karen51@tunisia.com;+216 50 861 640;ISO 14001;Unknown;Non
Smith-Craig;Siliana;eric61@tunisia.com;+216 71 502 985;Aucune;Unknown;Non
Mcbride, Jackson and Porter;Nabeul;xclark@tunisia.com;+216 87 700 581;ISO 14001;Camionnage;Oui
Caldwell-Poole;Gafsa;whill@tunisia.com;+216 96 415 656;Aucune;Unknown;Non
Christensen, Padilla and Thomas;Sidi Bouzid;stevensonfranklin@tunisia.com;+216 30 249 829;ISO 14001;Multimodal;Non
Collier Ltd;Kairouan;pedrotaylor@tunisia.com;+216 30 807 366;Aucune;Camionnage;Non
Allen-Morgan;Tataouine;jean05@tunisia.com;+216 94 573 633;Aucune;Maritime;Oui
Jackson-Willis;Gafsa;todd88@tunisia.com;+216 36 644 239;ISO 14001;Ferroviaire;Oui
Walter-Alvarado;Medenine;pwhite@tunisia.com;+216 92 982 536;ISO 14001;Ferroviaire;Non
Nolan-Shepherd;Beja;heather18@tunisia.com;+216 50 665 959;Aucune;Multimodal;Non
Gaines, Miller and Mitchell;Zaghouan;madisonsilva@tunisia.com;+216 57 916 246;ISO 14001;Camionnage;Non
Shannon PLC;Nabeul;evelynramirez@tunisia.com;+216 46 598 908;Agriculture Biologique;Camionnage;Non
Rogers, Jones and Barrett;Sfax;sriley@tunisia.com;+216 53 547 371;Agriculture Biologique;Camionnage;Oui
Smith Ltd;Sidi Bouzid;robertsjoseph@tunisia.com;+216 25 592 112;ISO 14001;Maritime;Non
Graham Inc;Jendouba;daniel53@tunisia.com;+216 24 486 450;Aucune;Camionnage;Non
Sutton-Cruz;Zaghouan;middletonsarah@tunisia.com;+216 32 847 496;Aucune;Unknown;Non
Russell-Jackson;Kélibia;eortiz@tunisia.com;+216 37 245 270;ISO 14001;Ferroviaire;Oui
Jordan and Sons;Sousse;rgarcia@tunisia.com;+216 78 990 381;ISO 14001;Multimodal;Oui
House, Everett and Hays;Kebili;amanda55@tunisia.com;+216 52 278 325;ISO 14001;Multimodal;Oui
Washington Group;Sidi Bouzid;tdalton@tunisia.com;+216 28 335 147;ISO 14001;Aérien;Non
Andrews and Sons;Kairouan;tadams@tunisia.com;+216 35 966 695;ISO 14001;Maritime;Oui
Smith-Henderson;Manouba;fwalter@tunisia.com;+216 79 871 425;Agriculture Biologique;Unknown;Oui
Stanley-Montgomery;Mahdia;garrett97@tunisia.com;+216 81 192 317;Aucune;Ferroviaire;Non
Curry, Clark and Brown;Kairouan;melissaking@tunisia.com;+216 73 683 744;Aucune;Camionnage;Non
Reynolds, Rivera and Hopkins;Tataouine;evaldez@tunisia.com;+216 85 560 107;Agriculture Biologique;Maritime;Oui
Chase, Robinson and Garcia;Jendouba;justin97@tunisia.com;+216 47 600 532;Agriculture Biologique;Camionnage;Oui
Thompson, Parker and Smith;Kasserine;cynthiaparker@tunisia.com;+216 97 633 146;Agriculture Biologique;Camionnage;Oui
Brown, Cole and Wallace;Kebili;brodriguez@tunisia.com;+216 73 365 227;Aucune;Ferroviaire;Non
Bonilla Ltd;La Marsa;shanelynch@tunisia.com;+216 96 912 394;ISO 14001;Ferroviaire;Oui
Thompson-Edwards;Siliana;creyes@tunisia.com;+216 47 279 188;ISO 14001;Multimodal;Non
Johnson, Mercer and Murillo;Le Kef;carlajones@tunisia.com;+216 26 853 480;ISO 14001;Maritime;Oui
Robinson-James;Gafsa;trujilloanthony@tunisia.com;+216 40 254 609;ISO 14001;Unknown;Non
Hart-Nguyen;Hammamet;vbutler@tunisia.com;+216 65 417 154;ISO 14001;Multimodal;Non
Richardson Ltd;Monastir;tammymoore@tunisia.com;+216 33 731 309;ISO 14001;Unknown;Non
Warren-Jones;Mahdia;christian17@tunisia.com;+216 36 345 628;Agriculture Biologique;Multimodal;Non
Williams PLC;Skanes;dennismelvin@tunisia.com;+216 60 386 683;Aucune;Ferroviaire;Oui
Wilson LLC;Kélibia;stonetanya@tunisia.com;+216 26 828 801;Aucune;Ferroviaire;Oui
Reilly PLC;Zaghouan;mcdanielsherri@tunisia.com;+216 38 582 209;Aucune;Aérien;Non
Daniel, Rodriguez and Patel;Ariana;hayleyhorn@tunisia.com;+216 68 872 505;ISO 14001;Ferroviaire;Non
Dickerson, Hernandez and Roberts;Gabès;erik18@tunisia.com;+216 73 359 118;Agriculture Biologique;Unknown;Oui
Taylor, Nelson and Maddox;Monastir;yscott@tunisia.com;+216 69 487 147;Agriculture Biologique;Camionnage;Oui
Taylor Inc;Tozeur;debrajennings@tunisia.com;+216 88 693 835;Aucune;Camionnage;Non
Howe-Johnson;Le Kef;michaelbrooks@tunisia.com;+216 35 887 911;Agriculture Biologique;Maritime;Non
Barrera, Young and Smith;Djerba;maryholmes@tunisia.com;+216 85 387 989;Agriculture Biologique;Ferroviaire;Non
Shepard, Norton and Jimenez;Jendouba;taylortammy@tunisia.com;+216 70 790 471;ISO 14001;Maritime;Oui
York-Johnson;La Marsa;michellejordan@tunisia.com;+216 89 209 751;Aucune;Aérien;Non
Villanueva and Sons;Gabès;tracydaugherty@tunisia.com;+216 40 579 690;Aucune;Ferroviaire;Oui
Brown-Turner;Ariana;josephpalmer@tunisia.com;+216 55 931 323;Agriculture Biologique;Multimodal;Oui
Hart LLC;Le Kef;julie33@tunisia.com;+216 97 885 739;ISO 14001;Maritime;Oui
Ashley, Poole and Sutton;Skanes;hugheschristina@tunisia.com;+216 95 573 172;Aucune;Maritime;Oui
Romero LLC;Siliana;thensley@tunisia.com;+216 29 530 540;Agriculture Biologique;Multimodal;Non
Mooney, Deleon and Potter;Kélibia;suttonyvonne@tunisia.com;+216 55 737 693;Aucune;Unknown;Oui
Potter-Allen;Mahdia;lisa76@tunisia.com;+216 83 475 472;Aucune;Unknown;Oui
Hunter, Tucker and Johnson;Tataouine;markfisher@tunisia.com;+216 52 683 840;Aucune;Aérien;Non
Hudson, York and Morris;Gafsa;steven07@tunisia.com;+216 50 539 142;ISO 14001;Camionnage;Non
Arroyo LLC;Sidi Bouzid;ejones@tunisia.com;+216 92 920 223;Aucune;Camionnage;Oui
Andrews, White and Lee;Sousse;kevinreyes@tunisia.com;+216 97 418 509;Aucune;Ferroviaire;Oui
Miranda Inc;Kairouan;david36@tunisia.com;+216 72 586 515;ISO 14001;Maritime;Non
Lee-Murray;Beja;tstewart@tunisia.com;+216 41 143 287;Aucune;Ferroviaire;Non
Hill-Tanner;Siliana;rachaelwhitaker@tunisia.com;+216 57 407 717;Agriculture Biologique;Aérien;Non
Pace LLC;Monastir;xkaufman@tunisia.com;+216 21 130 461;ISO 14001;Ferroviaire;Oui
Stewart Ltd;Kairouan;theresacollins@tunisia.com;+216 34 444 404;ISO 14001;Camionnage;Oui
Miller, Smith and Bowman;Bizerte;swilkinson@tunisia.com;+216 77 934 363;ISO 14001;Camionnage;Non
Brandt, Mccall and Coleman;Tozeur;shelley48@tunisia.com;+216 35 326 566;Agriculture Biologique;Multimodal;Oui
Kelly-Smith;Ariana;kmartin@tunisia.com;+216 64 114 783;Agriculture Biologique;Maritime;Oui
Burch-Charles;Medenine;dakotamarshall@tunisia.com;+216 48 922 158;ISO 14001;Multimodal;Oui
Hoffman-Smith;Sidi Bouzid;bowmanroy@tunisia.com;+216 56 341 228;Aucune;Unknown;Non
Flores-Petersen;Sidi Bouzid;meghanwilliams@tunisia.com;+216 67 164 106;Agriculture Biologique;Camionnage;Non
Butler-West;Jendouba;thomaslane@tunisia.com;+216 73 256 761;Aucune;Aérien;Oui
Morris, Thompson and Hoover;Kélibia;emma66@tunisia.com;+216 56 640 164;Aucune;Aérien;Oui
Kelley PLC;Gafsa;vicki51@tunisia.com;+216 55 847 137;Agriculture Biologique;Ferroviaire;Oui
Oliver Ltd;Ben Arous;hwilliams@tunisia.com;+216 88 457 581;Agriculture Biologique;Aérien;Oui
Jacobs-Wall;Zaghouan;vmanning@tunisia.com;+216 62 254 818;Agriculture Biologique;Aérien;Non
Booth-Bonilla;Siliana;matthewblackwell@tunisia.com;+216 35 821 437;ISO 14001;Camionnage;Oui
Cain, Sharp and Castillo;Le Kef;amiller@tunisia.com;+216 58 413 184;Agriculture Biologique;Camionnage;Non
Chapman Inc;Gabès;lmorrison@tunisia.com;+216 34 367 703;Agriculture Biologique;Camionnage;Oui
Thomas, Barnes and Garcia;Sfax;rachel85@tunisia.com;+216 78 335 914;Aucune;Multimodal;Non
Wise Inc;Siliana;wrightjoshua@tunisia.com;+216 31 160 695;Agriculture Biologique;Maritime;Oui
Moore, Wright and Davis;Kebili;wilsontimothy@tunisia.com;+216 21 281 297;Agriculture Biologique;Unknown;Oui
Hoffman LLC;Mahdia;denise62@tunisia.com;+216 65 916 576;Aucune;Unknown;Oui
Stone, Welch and Perry;Gabès;spencerraymond@tunisia.com;+216 46 320 972;Aucune;Camionnage;Non
Evans, Freeman and Gomez;Tataouine;mvargas@tunisia.com;+216 36 824 879;Agriculture Biologique;Aérien;Oui
Mann, Wall and Anderson;Gabès;aguilaramy@tunisia.com;+216 45 701 507;Agriculture Biologique;Multimodal;Oui
Roth and Sons;Kasserine;mariah06@tunisia.com;+216 24 392 957;ISO 14001;Ferroviaire;Oui
Wallace, Phillips and Tanner;Hammamet;gbrown@tunisia.com;+216 50 968 377;Agriculture Biologique;Multimodal;Oui
Anderson, George and Nguyen;Tozeur;darlenehill@tunisia.com;+216 71 429 561;Agriculture Biologique;Camionnage;Non
Watson-Jones;Kairouan;maryanderson@tunisia.com;+216 69 371 849;Agriculture Biologique;Maritime;Oui
Nichols Ltd;Siliana;dquinn@tunisia.com;+216 83 144 451;ISO 14001;Camionnage;Oui
Herrera-Coleman;Monastir;jamiejohnson@tunisia.com;+216 68 108 319;ISO 14001;Unknown;Oui
Gates LLC;Manouba;gibsontracy@tunisia.com;+216 23 467 717;Agriculture Biologique;Ferroviaire;Oui
Cervantes, Romero and Anderson;Kairouan;gonzalezmichelle@tunisia.com;+216 90 777 913;Aucune;Ferroviaire;Oui
Hanson-Velez;Siliana;zgibson@tunisia.com;+216 46 227 983;Agriculture Biologique;Aérien;Non
Scott-Smith;Tataouine;nguyencynthia@tunisia.com;+216 43 408 242;Agriculture Biologique;Aérien;Oui
Evans-English;Kairouan;johnbrown@tunisia.com;+216 60 217 132;ISO 14001;Camionnage;Oui
Morris, Dodson and Smith;Kebili;greenalexis@tunisia.com;+216 94 432 950;ISO 14001;Multimodal;Non
Branch-Sanford;Monastir;david80@tunisia.com;+216 23 927 262;ISO 14001;Maritime;Oui
Johnson LLC;Tunis;vmckinney@tunisia.com;+216 96 472 290;ISO 14001;Maritime;Non
Waters-Baldwin;Monastir;schultzandre@tunisia.com;+216 86 237 455;Agriculture Biologique;Camionnage;Oui
Lee and Sons;Sousse;matthewdaniels@tunisia.com;+216 65 563 195;Agriculture Biologique;Unknown;Non
Mays, King and Berry;Djerba;onealalexandria@tunisia.com;+216 58 500 238;Aucune;Maritime;Non
Buchanan, Brown and Le;Beja;marcus83@tunisia.com;+216 93 253 962;ISO 14001;Unknown;Non
Williams Inc;Tunis;karenwelch@tunisia.com;+216 52 201 662;ISO 14001;Multimodal;Non
Moran, Cannon and Duncan;Tozeur;hutchinsonjill@tunisia.com;+216 91 547 548;Aucune;Maritime;Oui
Garrison-Berry;Tozeur;mbrown@tunisia.com;+216 79 983 751;Agriculture Biologique;Unknown;Oui
Cobb-Weaver;Tunis;destinypena@tunisia.com;+216 38 712 974;ISO 14001;Multimodal;Non
Green-Anderson;Kebili;klane@tunisia.com;+216 89 350 650;Aucune;Ferroviaire;Oui
Oconnor, Guerrero and Kelly;Hammamet;maria23@tunisia.com;+216 97 804 266;Agriculture Biologique;Aérien;Non
Williams and Sons;Kairouan;daniel15@tunisia.com;+216 55 150 937;Agriculture Biologique;Maritime;Non
Friedman-Stephens;Kebili;lhill@tunisia.com;+216 30 546 231;Agriculture Biologique;Camionnage;Non
Coffey, York and Ashley;Zaghouan;michael83@tunisia.com;+216 38 669 123;Agriculture Biologique;Ferroviaire;Oui
Morgan-Walker;Tunis;carldouglas@tunisia.com;+216 42 476 448;Agriculture Biologique;Maritime;Non
Lang and Sons;Djerba;brianmunoz@tunisia.com;+216 93 887 409;Agriculture Biologique;Ferroviaire;Oui
Levine Ltd;Mahdia;higginsjames@tunisia.com;+216 50 924 298;Agriculture Biologique;Unknown;Oui
Hines-Ritter;Jendouba;zdavidson@tunisia.com;+216 52 212 635;Aucune;Camionnage;Non
Colon, Hernandez and Rice;Medenine;jillflores@tunisia.com;+216 52 505 120;Aucune;Multimodal;Non
Ritter LLC;Bizerte;lisa66@tunisia.com;+216 22 989 582;Agriculture Biologique;Unknown;Non
Johnson, Daniels and Berg;Gabès;reynoldsjohn@tunisia.com;+216 35 632 247;Aucune;Multimodal;Non
Taylor-May;Kebili;george69@tunisia.com;+216 60 856 826;Aucune;Multimodal;Oui
White, English and Wilson;Skanes;steven09@tunisia.com;+216 59 526 990;Aucune;Aérien;Oui
Wood-Jones;Mahdia;justin10@tunisia.com;+216 59 707 385;Agriculture Biologique;Ferroviaire;Non
Delacruz-Chang;Jendouba;jalvarez@tunisia.com;+216 57 680 904;ISO 14001;Aérien;Oui
Conrad and Sons;Beja;briandennis@tunisia.com;+216 53 224 419;Agriculture Biologique;Aérien;Oui
Bishop LLC;Tunis;xpeterson@tunisia.com;+216 34 803 616;ISO 14001;Ferroviaire;Oui
Martinez Inc;Kélibia;matthewmeyer@tunisia.com;+216 52 990 316;Aucune;Camionnage;Oui
Watson Group;Medenine;dianasmith@tunisia.com;+216 83 732 778;Aucune;Ferroviaire;Oui
Jones-Jennings;Skanes;geoffreygross@tunisia.com;+216 24 508 598;Agriculture Biologique;Multimodal;Non
Jordan-Powell;Sidi Bouzid;lisarobinson@tunisia.com;+216 64 972 411;ISO 14001;Unknown;Oui
Ward LLC;Medenine;silvaalex@tunisia.com;+216 52 165 119;ISO 14001;Maritime;Oui
Campos-Peck;Le Kef;seth69@tunisia.com;+216 71 855 565;Agriculture Biologique;Ferroviaire;Oui
Henderson Group;Monastir;robert48@tunisia.com;+216 87 470 783;Aucune;Maritime;Oui
Luna-Cisneros;Tozeur;katherine67@tunisia.com;+216 34 166 974;Agriculture Biologique;Unknown;Oui
Edwards Group;Djerba;xbrock@tunisia.com;+216 24 138 483;Agriculture Biologique;Unknown;Non
Fry-Kaufman;Mahdia;lking@tunisia.com;+216 84 701 159;Agriculture Biologique;Ferroviaire;Oui
Johnson and Sons;La Marsa;kristinegomez@tunisia.com;+216 93 957 691;Aucune;Camionnage;Non
Mora Group;Djerba;ewatts@tunisia.com;+216 71 195 547;Aucune;Camionnage;Non
Edwards LLC;Tunis;jordanchristian@tunisia.com;+216 38 582 917;Agriculture Biologique;Camionnage;Oui
Mcdaniel, Carey and Moore;Medenine;davismegan@tunisia.com;+216 51 488 408;Aucune;Ferroviaire;Oui
Foley, Martin and Dixon;Jendouba;xbennett@tunisia.com;+216 76 352 275;Aucune;Ferroviaire;Oui
Adams-Estrada;Kairouan;nicole28@tunisia.com;+216 87 296 187;ISO 14001;Multimodal;Non
Anderson-Reynolds;Sidi Bouzid;daniel95@tunisia.com;+216 35 981 236;Aucune;Unknown;Non
Durham-Richard;Siliana;susan25@tunisia.com;+216 92 230 259;Aucune;Camionnage;Non
Patton, Steele and Gonzalez;Sfax;miguelvalencia@tunisia.com;+216 44 875 453;Aucune;Multimodal;Non
Townsend, Khan and White;Sidi Bouzid;craig83@tunisia.com;+216 88 418 745;Agriculture Biologique;Multimodal;Oui
Hill, Kaufman and Johnson;Kairouan;amy04@tunisia.com;+216 66 303 210;Agriculture Biologique;Ferroviaire;Non
