Equipment_ID,Equipment_Name,Category,Maintenance_Cycle,Location,Manufacturer,CO2_Emissions_kg,Energy_Consumption_kWh,Energy_Type,Maintenance_Frequency,Estimated_Lifetime_Years
E7902,Compresseur d'Air,Embouteillage,Annuel,Atelier Principal,PackEquip SARL,144.41,3190.7,Gaz Naturel,Bimensuel,10
E6385,Cuve de Stockage,Stockage,Bimensuel,Usine Cenk,AgroTeq,358.59,4097.47,Électrique,Bimensuel,21
E8151,Machine de Conditionnement,Stockage,Annuel,Usine Sousse,CleanTech Solutions,345.32,2456.86,Fioul,Mensuel,6
E6212,Convoyeur,Mélange,Trimestriel,Usine Tunis,RoboPack Inc.,367.09,2028.35,Électrique,Bimensuel,9
E3391,Chauffe-Eau Industriel,Conditionnement,Trimestriel,Usine Tunis,AgroTech Inc.,306.01,2166.78,Gaz Naturel,Bimensuel,25
E2882,Compresseur d'Air,Conditionnement,Annuel,Usine Gabès,AgroTech Inc.,297.94,1001.45,Solaire,Bimensuel,23
E8998,Machine de Conditionnement,Embouteillage,Trimestriel,Usine Gabès,CleanTech Solutions,260.13,2353.76,Fioul,Trimestriel,10
E4068,Robot Emballeur,Mélange,Mensuel,Usine Tunis,AgroTeq,459.74,1725.8,Gaz Naturel,Mensuel,7
E2512,Chauffe-Eau Industriel,Mélange,Bimensuel,Usine Gabès,AgroTech Inc.,642.6,1934.73,Fioul,Annuel,24
E6140,Machine de Conditionnement,Stockage,Trimestriel,Usine Sousse,CleanTech Solutions,999.71,1003.1,Gaz Naturel,Annuel,21
E7364,Mélangeur Industriel,Embouteillage,Bimensuel,Usine Gabès,PackEquip SARL,225.01,2257.6,Solaire,Annuel,19
E1695,Convoyeur,Nettoyage,Bimensuel,Usine Tunis,RoboPack Inc.,565.52,1787.55,Fioul,Bimensuel,6
E1537,Système de Pesée,Embouteillage,Bimensuel,Usine Sousse,RoboPack Inc.,362.08,3441.91,Gaz Naturel,Bimensuel,10
E1140,Compresseur d'Air,Nettoyage,Bimensuel,Atelier Principal,AgroTeq,122.51,1142.41,Gaz Naturel,Mensuel,12
E8508,Compresseur d'Air,Mélange,Trimestriel,Usine Tunis,RoboPack Inc.,940.07,1034.25,Solaire,Annuel,18
E6001,Système de Pesée,Stockage,Bimensuel,Usine Cenk,RoboPack Inc.,792.44,3642.32,Électrique,Bimensuel,13
E1062,Machine de Conditionnement,Stockage,Mensuel,Atelier Principal,AgroTech Inc.,903.98,3957.36,Gaz Naturel,Annuel,6
E7644,Cuve de Stockage,Stockage,Trimestriel,Usine Sousse,PackEquip SARL,380.68,4873.01,Fioul,Bimensuel,25
E3074,Cuve de Stockage,Mélange,Annuel,Usine Gabès,AgroTech Inc.,323.06,3661.51,Électrique,Bimensuel,24
E8613,Machine de Conditionnement,Conditionnement,Bimensuel,Usine Cenk,AgroTech Inc.,238.15,4682.68,Fioul,Trimestriel,21
E9041,Chauffe-Eau Industriel,Conditionnement,Trimestriel,Usine Cenk,RoboPack Inc.,552.19,3977.44,Fioul,Bimensuel,17
E8204,Chauffe-Eau Industriel,Embouteillage,Annuel,Atelier Principal,AgroTeq,584.37,1440.51,Électrique,Annuel,14
E8795,Chauffe-Eau Industriel,Mélange,Mensuel,Usine Gabès,AgroTech Inc.,329.81,3185.11,Électrique,Mensuel,19
E6386,Chauffe-Eau Industriel,Mélange,Mensuel,Usine Cenk,AgroTeq,362.85,1522.8,Fioul,Trimestriel,19
E3968,Convoyeur,Stockage,Annuel,Usine Gabès,PackEquip SARL,382.08,3153.12,Électrique,Bimensuel,20
E2819,Chauffe-Eau Industriel,Nettoyage,Bimensuel,Usine Tunis,PackEquip SARL,389.37,4438.96,Fioul,Annuel,24
E8920,Cuve de Stockage,Mélange,Trimestriel,Usine Cenk,CleanTech Solutions,589.23,4556.2,Électrique,Mensuel,23
E7519,Robot Emballeur,Embouteillage,Trimestriel,Usine Cenk,PackEquip SARL,615.25,4799.92,Fioul,Mensuel,19
E3011,Chauffe-Eau Industriel,Nettoyage,Trimestriel,Usine Cenk,AgroTeq,840.32,1795.0,Solaire,Annuel,6
E7981,Système de Pesée,Conditionnement,Mensuel,Usine Tunis,RoboPack Inc.,309.44,3507.66,Solaire,Annuel,10
E9562,Système de Pesée,Nettoyage,Annuel,Usine Tunis,CleanTech Solutions,155.25,1911.94,Solaire,Mensuel,17
E3784,Mélangeur Industriel,Conditionnement,Trimestriel,Atelier Principal,AgroTech Inc.,308.55,2112.1,Gaz Naturel,Bimensuel,12
E9732,Cuve de Stockage,Mélange,Mensuel,Usine Tunis,AgroTeq,387.67,2794.92,Fioul,Annuel,10
E2703,Robot Emballeur,Mélange,Mensuel,Usine Sousse,PackEquip SARL,877.17,3963.31,Fioul,Bimensuel,16
E2268,Machine de Conditionnement,Conditionnement,Bimensuel,Atelier Principal,PackEquip SARL,164.09,1368.25,Solaire,Annuel,12
E6375,Chauffe-Eau Industriel,Mélange,Annuel,Usine Cenk,AgroTech Inc.,927.33,2761.73,Gaz Naturel,Annuel,15
E3170,Mélangeur Industriel,Mélange,Annuel,Usine Tunis,PackEquip SARL,731.09,4413.27,Fioul,Annuel,7
E3681,Machine de Conditionnement,Nettoyage,Mensuel,Usine Tunis,AgroTeq,368.58,1058.77,Fioul,Bimensuel,22
E6114,Compresseur d'Air,Embouteillage,Mensuel,Usine Tunis,AgroTeq,752.43,2362.22,Gaz Naturel,Trimestriel,7
E8680,Compresseur d'Air,Mélange,Bimensuel,Usine Sousse,CleanTech Solutions,618.06,4679.2,Gaz Naturel,Annuel,6
E8518,Compresseur d'Air,Stockage,Mensuel,Atelier Principal,AgroTeq,726.46,3254.26,Solaire,Mensuel,23
E2121,Cuve de Stockage,Nettoyage,Bimensuel,Usine Gabès,CleanTech Solutions,445.83,3509.86,Gaz Naturel,Trimestriel,7
E7762,Convoyeur,Nettoyage,Trimestriel,Usine Sousse,CleanTech Solutions,447.78,2437.2,Électrique,Mensuel,19
E2360,Compresseur d'Air,Conditionnement,Mensuel,Usine Cenk,RoboPack Inc.,226.68,1916.45,Électrique,Trimestriel,22
E7315,Robot Emballeur,Conditionnement,Trimestriel,Usine Gabès,AgroTeq,902.27,1034.66,Gaz Naturel,Trimestriel,19
E8790,Machine de Conditionnement,Mélange,Trimestriel,Usine Gabès,PackEquip SARL,577.32,2232.06,Gaz Naturel,Bimensuel,6
E3034,Compresseur d'Air,Embouteillage,Bimensuel,Usine Cenk,CleanTech Solutions,174.42,1259.03,Fioul,Mensuel,21
E1133,Système de Pesée,Nettoyage,Bimensuel,Atelier Principal,RoboPack Inc.,241.28,2213.04,Solaire,Mensuel,13
E6053,Chauffe-Eau Industriel,Stockage,Bimensuel,Usine Sousse,PackEquip SARL,684.36,3124.39,Solaire,Bimensuel,13
E4959,Convoyeur,Stockage,Annuel,Usine Tunis,AgroTeq,187.8,1183.74,Fioul,Trimestriel,7
E8116,Cuve de Stockage,Embouteillage,Mensuel,Usine Tunis,PackEquip SARL,321.22,2712.23,Solaire,Annuel,14
E5737,Chauffe-Eau Industriel,Embouteillage,Mensuel,Usine Gabès,AgroTech Inc.,413.6,2764.54,Gaz Naturel,Mensuel,6
E2728,Système de Pesée,Embouteillage,Mensuel,Usine Cenk,PackEquip SARL,164.5,1495.75,Électrique,Bimensuel,11
E9849,Mélangeur Industriel,Conditionnement,Bimensuel,Usine Cenk,PackEquip SARL,936.8,3430.73,Solaire,Annuel,16
E2963,Machine de Conditionnement,Conditionnement,Mensuel,Atelier Principal,PackEquip SARL,600.94,3779.23,Gaz Naturel,Mensuel,10
E7776,Système de Pesée,Conditionnement,Annuel,Usine Gabès,AgroTech Inc.,371.45,2402.87,Fioul,Bimensuel,16
E4202,Chauffe-Eau Industriel,Nettoyage,Annuel,Usine Tunis,AgroTeq,213.66,3486.63,Gaz Naturel,Annuel,15
E4650,Convoyeur,Stockage,Trimestriel,Usine Sousse,AgroTeq,164.86,1447.09,Électrique,Annuel,20
E2913,Robot Emballeur,Embouteillage,Bimensuel,Usine Tunis,PackEquip SARL,361.49,4164.54,Solaire,Annuel,13
E3224,Convoyeur,Embouteillage,Bimensuel,Atelier Principal,AgroTech Inc.,434.56,2752.31,Électrique,Bimensuel,19
E5770,Machine de Conditionnement,Mélange,Annuel,Usine Sousse,CleanTech Solutions,405.27,4063.54,Solaire,Trimestriel,9
E3190,Chauffe-Eau Industriel,Stockage,Annuel,Usine Gabès,AgroTech Inc.,361.72,2541.64,Solaire,Mensuel,8
E1331,Chauffe-Eau Industriel,Embouteillage,Trimestriel,Usine Tunis,RoboPack Inc.,622.63,2233.37,Gaz Naturel,Trimestriel,22
E3423,Chauffe-Eau Industriel,Conditionnement,Mensuel,Usine Gabès,PackEquip SARL,981.36,3534.39,Électrique,Mensuel,13
E6289,Cuve de Stockage,Stockage,Mensuel,Atelier Principal,AgroTeq,407.38,1736.57,Solaire,Trimestriel,19
E3067,Compresseur d'Air,Embouteillage,Annuel,Atelier Principal,CleanTech Solutions,160.38,1459.6,Électrique,Mensuel,13
E4768,Cuve de Stockage,Mélange,Trimestriel,Usine Gabès,AgroTech Inc.,677.98,2863.55,Fioul,Mensuel,7
E6824,Compresseur d'Air,Nettoyage,Annuel,Atelier Principal,AgroTeq,980.92,2526.24,Solaire,Mensuel,14
E4089,Convoyeur,Embouteillage,Bimensuel,Usine Cenk,CleanTech Solutions,953.7,4337.59,Électrique,Annuel,8
